Diagnose;Schlüssel;Anzahl von Diagnose
Kontakt mit und Exposition gegenüber sonstigen übertragbaren Krankheiten;Z20.8;Gefährlich
Fraktur eines Brustwirbels: T9 und T10;S22.05;Gefährlich
Nicht näher bezeichnete offene Wunde sonstiger Teile des Handgelenkes und der Hand;S61.80;Gefährlich
Lagophthalmus;H02.2;Gefährlich
Intermittierender Strabismus concomitans;H50.3;Gefährlich
Myopie;H52.1;Gefährlich
Interstitielles Emphysem;J98.2;Gefährlich
Hereditärer Faktor-X-Mangel;D68.24;Gefährlich
Nicht primär insulinabhängiger Diabetes mellitus [Typ-2-Diabetes]: Ohne Komplikationen: Als entgleist bezeichnet;E11.91;Gefährlich
Narbenhernie ohne Einklemmung und ohne Gangrän;K43.2;Gefährlich
Hämatometra;N85.7;Gefährlich
Idiopathische thrombozytopenische Purpura;D69.3;Gefährlich
Hyperurikämie ohne Zeichen von entzündlicher Arthritis oder tophischer Gicht;E79.0;Gefährlich
Nasenseptumdeviation;J34.2;Gefährlich
Fremdkörper in den Atemwegen, Teil nicht näher bezeichnet;T17.9;Gefährlich
Idiopathischer Hypoparathyreoidismus;E20.0;Gefährlich
Mastozytose (angeboren);Q82.2;Gefährlich
Neugeborenenikterus durch Muttermilch-Inhibitor;P59.3;Gefährlich
Fraktur der Mittelfußknochen;S92.3;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik der Leber und der Gallenwege;R93.2;Gefährlich
Abnorme Ergebnisse von Funktionsprüfungen sonstiger Organe und Organsysteme;R94.8;Gefährlich
Andere Entwicklungsstörungen;F88;Gefährlich
Augenschmerzen;H57.1;Gefährlich
Duplikatur des Ureters;Q62.5;Gefährlich
Ausbleiben der erwarteten physiologischen Entwicklung, nicht näher bezeichnet;R62.9;Gefährlich
Erhöhte Urinwerte für Drogen, Arzneimittel und biologisch aktive Substanzen;R82.5;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik der Extremitäten;R93.6;Gefährlich
Fragiles X-Chromosom;Q99.2;Gefährlich
Abnorme Kopfbewegungen;R25.0;Gefährlich
Dissoziative Krampfanfälle;F44.5;Gefährlich
Bakterielle Infektion, nicht näher bezeichnet;A49.9;Gefährlich
Ekstrophie der Harnblase;Q64.1;Gefährlich
Bakterielle Meningitis, nicht näher bezeichnet;G00.9;Gefährlich
Ahornsirup- (Harn-) Krankheit;E71.0;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnorme mikrobiologische Befunde;R89.5;Gefährlich
Ertrinken und nichttödliches Untertauchen;T75.1;Gefährlich
Akute Otitis externa, nichtinfektiös;H60.5;Gefährlich
Andere Intelligenzminderung: Ohne Angabe einer Verhaltensstörung;F78.9;Gefährlich
Angeborene Pneumonie durch sonstige Bakterien;P23.6;Gefährlich
Diabetes mellitus, Typ 1: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet;E10.61;Gefährlich
Benigner paroxysmaler Schwindel;H81.1;Gefährlich
Akzessorische(r) Finger;Q69.0;Gefährlich
Angeborene Pulmonalklappeninsuffizienz;Q22.2;Gefährlich
Distale Fraktur der Ulna und des Radius, kombiniert;S52.6;Gefährlich
Angeborene Pulmonalklappenstenose;Q22.1;Gefährlich
Abnorme Ergebnisse von Lungenfunktionsprüfungen;R94.2;Gefährlich
Blepharitis;H01.0;Gefährlich
Embryonale Zyste der Tuba uterina;Q50.4;Gefährlich
Blutung aus dem Rachen;R04.1;Gefährlich
Agoraphobie: Mit Panikstörung;F40.01;Gefährlich
Blutung aus sonstigen Lokalisationen in den Atemwegen;R04.8;Gefährlich
Angeborene Mitralklappeninsuffizienz;Q23.3;Gefährlich
Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert;T81.0;Gefährlich
Akne, nicht näher bezeichnet;L70.9;Gefährlich
Bösartige Neubildung der Verdauungsorgane in der Familienanamnese;Z80.0;Gefährlich
Erysipel [Wundrose];A46;Gefährlich
Bronchiektasen;J47;Gefährlich
Floride Rachitis;E55.0;Gefährlich
Bronchopneumonie, nicht näher bezeichnet;J18.0;Gefährlich
Angeborene Fehlbildung des Gehirns, nicht näher bezeichnet;Q04.9;Gefährlich
Akute Sinusitis ethmoidalis;J01.2;Gefährlich
Akutes Nierenversagen, nicht näher bezeichnet: Stadium 3;N17.93;Gefährlich
Abnormer immunologischer Serumbefund, nicht näher bezeichnet;R76.9;Gefährlich
Abknickung und Striktur des Ureters ohne Hydronephrose;N13.5;Gefährlich
Chronische muköse Otitis media;H65.3;Gefährlich
Anterograde Amnesie;R41.1;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Anus mit Fistel;Q42.2;Gefährlich
Disseminierte intravasale Gerinnung beim Feten und Neugeborenen;P60;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Sonstige abnorme Befunde;R89.8;Gefährlich
Distale Fraktur der Tibia: Sonstige;S82.38;Gefährlich
Chronische Nierenkrankheit, Stadium 4;N18.4;Gefährlich
Alimentärer Zinkmangel;E60;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Ileums;Q41.2;Gefährlich
Arzneimittelinduziertes Cushing-Syndrom;E24.2;Gefährlich
Chronische Sinusitis sphenoidalis;J32.3;Gefährlich
Astigmatismus;H52.2;Gefährlich
Colitis ulcerosa, nicht näher bezeichnet;K51.9;Gefährlich
Embolie und Thrombose der Arterien der unteren Extremitäten;I74.3;Gefährlich
Akute Tracheitis;J04.1;Gefährlich
Emotionale Störung des Kindesalters, nicht näher bezeichnet;F93.9;Gefährlich
Darmfistel;K63.2;Gefährlich
Angeborene Laryngomalazie;Q31.5;Gefährlich
Akute und subakute Iridozyklitis;H20.0;Gefährlich
Enterocolitis necroticans beim Feten und Neugeborenen;P77;Gefährlich
Angeborener nichtneoplastischer Nävus;Q82.5;Gefährlich
Enzephalitis durch Enteroviren;A85.0;Gefährlich
Dekubitus 1. Grades: Ferse;L89.07;Gefährlich
Epiphyseolysis capitis femoris (nichttraumatisch);M93.0;Gefährlich
Dekubitus 1. Grades: Kopf;L89.00;Gefährlich
Akute Laryngopharyngitis;J06.0;Gefährlich
Dekubitus 1. Grades: Sitzbein;L89.05;Gefährlich
Atresie der Aorta;Q25.2;Gefährlich
Dekubitus 2. Grades: Kopf;L89.10;Gefährlich
Erworbene Deformität des Brustkorbes und der Rippen;M95.4;Gefährlich
Dekubitus 2. Grades: Kreuzbein;L89.14;Gefährlich
Exomphalus;Q79.2;Gefährlich
Demoralisierung und Apathie;R45.3;Gefährlich
Atypische Anorexia nervosa;F50.1;Gefährlich
Akutes lebensbedrohliches Ereignis im Säuglingsalter;R06.80;Gefährlich
Akute Appendizitis mit generalisierter Peritonitis;K35.2;Gefährlich
Anorexia nervosa;F50.0;Gefährlich
Folgen einer Subarachnoidalblutung;I69.0;Gefährlich
Dermatitis durch aufgenommene Nahrungsmittel;L27.2;Gefährlich
Akute Laryngotracheitis;J04.2;Gefährlich
Anorexie;R63.0;Gefährlich
Akutes Nierenversagen, nicht näher bezeichnet;N17.9;Gefährlich
Akute Entzündung der Orbita;H05.0;Gefährlich
Sonstige näher bezeichnete Krankheiten des Gehirns;G93.88;Gefährlich
Thrombose, Phlebitis und Thrombophlebitis der V. femoralis;I80.1;Gefährlich
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M79.88;Gefährlich
Toxische Wirkung: Sonstige näher bezeichnete anorganische Substanzen;T57.8;Gefährlich
Verletzung der langen Beugemuskeln und -sehnen des Daumens in Höhe des Handgelenkes und der Hand;S66.0;Gefährlich
Transitorische erworbene isolierte aplastische Anämie;D60.1;Gefährlich
Sonstige oberflächliche Verletzungen der hinteren Thoraxwand: Insektenbiss oder -stich (ungiftig);S20.43;Gefährlich
Transitorische Störung des Kohlenhydratstoffwechsels beim Feten und Neugeborenen, nicht näher bezeichnet;P70.9;Gefährlich
Vorzeitige Pubertät [Pubertas praecox];E30.1;Gefährlich
Sonstige näher bezeichnete Symptome, die das Kreislaufsystem und das Atmungssystem betreffen;R09.8;Gefährlich
Sonstige Zytomegalie;B25.88;Gefährlich
Sonstiger Hypoparathyreoidismus;E20.8;Gefährlich
Verschluss des Gallenganges;K83.1;Gefährlich
Sonstige oberflächliche Verletzungen der vorderen Thoraxwand: Art der Verletzung nicht näher bezeichnet;S20.30;Gefährlich
Störungen des Kalziumstoffwechsels, nicht näher bezeichnet;E83.59;Gefährlich
Transitorischer Ileus beim Neugeborenen;P76.1;Gefährlich
Stottern [Stammeln];F98.5;Gefährlich
Traumatische Ruptur von Bändern in Höhe des oberen Sprunggelenkes und des Fußes;S93.2;Gefährlich
Zytostatische Chemotherapie wegen bösartiger Neubildung in der Eigenanamnese;Z92.6;Gefährlich
Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;E13.60;Gefährlich
Sonstige sekundäre Hypertonie: Ohne Angabe einer hypertensiven Krise;I15.80;Gefährlich
Sonstige Störungen der Hypophyse;E23.6;Gefährlich
Zustand nach hämatopoetischer Stammzelltransplantation ohne gegenwärtige Immunsuppression;Z94.80;Gefährlich
Traumatischer Schock;T79.4;Gefährlich
Vergiftung: Sonstige primär systemisch und auf das Blut wirkende Mittel, anderenorts nicht klassifiziert;T45.8;Gefährlich
Sonstige Störungen des binokularen Sehens;H53.3;Gefährlich
Verletzung von Muskeln und Sehnen in Halshöhe;S16;Gefährlich
Trigeminusneuralgie;G50.0;Gefährlich
Störung des Mineralstoffwechsels, nicht näher bezeichnet;E83.9;Gefährlich
Trikuspidalklappeninsuffizienz;I07.1;Gefährlich
Sonstige prophylaktische Chemotherapie;Z29.28;Gefährlich
Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Lumbosakralbereich;M53.87;Gefährlich
Störungen des Kupferstoffwechsels;E83.0;Gefährlich
Trisomie 18, meiotische Non-disjunction;Q91.0;Gefährlich
Sonstige oberflächliche Verletzungen der hinteren Thoraxwand: Schürfwunde;S20.41;Gefährlich
Sonstiger Pneumothorax;J93.8;Gefährlich
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Nicht näher bezeichnete Lokalisation;M79.89;Gefährlich
Sonstige näher bezeichnete Muskelkrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk];M62.86;Gefährlich
Sonstige näher bezeichnete Krankheiten des Mittelohres und des Warzenfortsatzes;H74.8;Gefährlich
Sonstiger Status epilepticus;G41.8;Gefährlich
Vorhofextrasystolie;I49.1;Gefährlich
Tuberkulose der Haut und des Unterhautgewebes;A18.4;Gefährlich
Syndrom polyzystischer Ovarien;E28.2;Gefährlich
Sonstiger und nicht näher bezeichneter mechanischer Ileus;K56.6;Gefährlich
Zerebrale Leukomalazie beim Neugeborenen;P91.2;Gefährlich
Tubulointerstitielle Nephritis, nicht als akut oder chronisch bezeichnet;N12;Gefährlich
Thrombose, Phlebitis und Thrombophlebitis tiefer Gefäße der oberen Extremitäten;I80.81;Gefährlich
Sonstige Störungen des Phosphorstoffwechsels und der Phosphatase;E83.38;Gefährlich
Tinea pedis;B35.3;Gefährlich
Übergewichtige Neugeborene;P08.0;Gefährlich
Zystitis, nicht näher bezeichnet;N30.9;Gefährlich
Sonstiges akutes Nierenversagen: Stadium 1;N17.81;Gefährlich
Stereotype Bewegungsstörungen;F98.4;Gefährlich
Überprüfung der Funktionsparameter eines Zwerchfellstimulators;Z45.81;Gefährlich
Verletzung eines nicht näher bezeichneten Blutgefäßes in Höhe der Schulter und des Oberarmes;S45.9;Gefährlich
Sonstige Störungen des Sozialverhaltens;F91.8;Gefährlich
Störung der Blickbewegungen, nicht näher bezeichnet;H51.9;Gefährlich
Ulcus ventriculi: Akut, mit Blutung;K25.0;Gefährlich
Störung der Hautpigmentierung, nicht näher bezeichnet;L81.9;Gefährlich
Ulzeröse (chronische) Pankolitis;K51.0;Gefährlich
Sonstige nichtentzündliche Krankheiten des Ovars, der Tuba uterina und des Lig. latum uteri;N83.8;Gefährlich
Sonstige oberflächliche Verletzungen der vorderen Thoraxwand: Schürfwunde;S20.31;Gefährlich
Störung des Sozialverhaltens, nicht näher bezeichnet;F91.9;Gefährlich
Sonstiges fehlgebildetes Ohr;Q17.3;Gefährlich
Sonstige und nicht näher bezeichnete Läsionen der Mundschleimhaut;K13.7;Gefährlich
Sonstige Störungen des Wasser- und Elektrolythaushaltes, anderenorts nicht klassifiziert;E87.8;Gefährlich
Verstauchung und Zerrung des Handgelenkes: Teil nicht näher bezeichnet;S63.50;Gefährlich
Umschriebene Hirnatrophie;G31.0;Gefährlich
Verstauchung und Zerrung sonstiger und nicht näher bezeichneter Teile des Fußes;S93.6;Gefährlich
Umschriebene Hirnkontusion;S06.31;Gefährlich
Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;E88.0;Gefährlich
Sonstiges und nicht näher bezeichnetes Ödem, das für den Feten und das Neugeborene spezifisch ist;P83.3;Gefährlich
Störungen in der Zahnbildung;K00.4;Gefährlich
Sonstige oberflächliche Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens: Art der Verletzung nicht näher bezeichnet;S30.80;Gefährlich
Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Zervikothorakalbereich;M53.83;Gefährlich
Sonstige Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen;R46.8;Gefährlich
Streptokokken-Pharyngitis;J02.0;Gefährlich
Spalte des harten Gaumens;Q35.1;Gefährlich
Struma beim Neugeborenen, anderenorts nicht klassifiziert;P72.0;Gefährlich
Spalte des harten Gaumens mit beidseitiger Lippenspalte;Q37.0;Gefährlich
Vorhandensein von Implantaten im Gehörorgan;Z96.2;Gefährlich
Sonstige näher bezeichnete Krankheiten des Pankreas;K86.8;Gefährlich
Vorhandensein von urogenitalen Implantaten;Z96.0;Gefährlich
Spalte des harten und des weichen Gaumens mit beidseitiger Lippenspalte;Q37.4;Gefährlich
Syndrom der inadäquaten Sekretion von Adiuretin;E22.2;Gefährlich
Sonstige oberflächliche Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens: Prellung;S30.85;Gefährlich
Sonstige oberflächliche Verletzungen der Knöchelregion und des Fußes: Sonstige;S90.88;Gefährlich
Spasmus (hemi)facialis;G51.3;Gefährlich
Synovitis und Tenosynovitis, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk];M65.92;Gefährlich
Unterernährung beim Neugeborenen;P92.3;Gefährlich
Sonstige sekundäre Thrombozytopenien, als transfusionsrefraktär bezeichnet;D69.57;Gefährlich
Unterkieferfraktur: Processus condylaris;S02.61;Gefährlich
Thrombose, Phlebitis und Thrombophlebitis der Beckenvenen;I80.20;Gefährlich
Unterkieferfraktur: Teil nicht näher bezeichnet;S02.60;Gefährlich
Zervikozephales Syndrom;M53.0;Gefährlich
Sonstige näher bezeichnete Trisomien und partielle Trisomien der Autosomen;Q92.8;Gefährlich
Thrombozytopenie, nicht näher bezeichnet: Als transfusionsrefraktär bezeichnet;D69.60;Gefährlich
Sonstige Ticstörungen;F95.8;Gefährlich
Tinea barbae und Tinea capitis;B35.0;Gefährlich
Sonstige oberflächliche Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens: Sonstige;S30.88;Gefährlich
Sonstige zystische Nierenkrankheiten;Q61.8;Gefährlich
Untersuchung und Test zur Feststellung einer Schwangerschaft;Z32;Gefährlich
Toxische Wirkung von Seifen und Detergenzien;T55;Gefährlich
Spastische Tetraparese und Tetraplegie: Chronische inkomplette Querschnittlähmung;G82.43;Gefährlich
Vergiftung: Sonstige primär auf den Magen-Darmtrakt wirkende Mittel;T47.8;Gefährlich
Sonstige näher bezeichnete nichtentzündliche Krankheiten der Vulva und des Perineums;N90.88;Gefährlich
Vergiftung: Sonstige psychotrope Substanzen, anderenorts nicht klassifiziert;T43.8;Gefährlich
Urticaria factitia;L50.3;Gefährlich
Verletzung der Konjunktiva und Abrasio corneae ohne Angabe eines Fremdkörpers;S05.0;Gefährlich
Urtikaria durch Kälte oder Wärme;L50.2;Gefährlich
Verletzung der Nn. digitales sonstiger Finger;S64.4;Gefährlich
Sonstige transitorische Störungen der Schilddrüsenfunktion beim Neugeborenen, anderenorts nicht klassifiziert;P72.2;Gefährlich
Verletzung eines nicht näher bezeichneten Muskels oder einer nicht näher bezeichneten Sehne in Höhe des Unterschenkels;S86.9;Gefährlich
Uvulaspalte;Q35.7;Gefährlich
Verlust anderer Teile des Verdauungstraktes;Z90.4;Gefährlich
Sonstige näher bezeichnete orthopädische Nachbehandlung;Z47.8;Gefährlich
Vernachlässigen oder Imstichlassen;T74.0;Gefährlich
Sonstige näher bezeichnete Verletzungen des Halses;S19.8;Gefährlich
Verschluss und Stenose der A. carotis;I65.2;Gefährlich
Sonstige näher bezeichnete Verletzungen des Kopfes;S09.8;Gefährlich
Störung des Kohlenhydratstoffwechsels, nicht näher bezeichnet;E74.9;Gefährlich
Varizen sonstiger näher bezeichneter Lokalisationen;I86.8;Gefährlich
Versorgen mit und Anpassen eines nicht näher bezeichneten medizinischen Gerätes oder Hilfsmittels;Z46.9;Gefährlich
Varusdeformität, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M21.17;Gefährlich
Sonstige und nicht näher bezeichnete Infektionskrankheiten;B99;Gefährlich
Sonstige oberflächliche Verletzungen des Handgelenkes und der Hand: Sonstige;S60.88;Gefährlich
Störung des Sozialverhaltens mit oppositionellem, aufsässigem Verhalten;F91.3;Gefährlich
Ventrikuläre Arrhythmie durch Re-entry;I47.0;Gefährlich
Störung mit sozialer Ängstlichkeit des Kindesalters;F93.2;Gefährlich
Sonstige oberflächliche Verletzungen des Unterarmes: Blasenbildung (nichtthermisch);S50.82;Gefährlich
Sonstige prophylaktische Operation;Z40.8;Gefährlich
Ventrikuläre Tachykardie;I47.2;Gefährlich
Sonstige und nicht näher bezeichnete Nebennierenrindeninsuffizienz;E27.4;Gefährlich
Sonstige näher bezeichnete Verletzungen des Unterarmes;S59.8;Gefährlich
Verstauchung und Zerrung des Ellenbogens: Teil nicht näher bezeichnet;S53.40;Gefährlich
Veränderungen der Globuline;R77.1;Gefährlich
Verstauchung und Zerrung des oberen Sprunggelenkes: Sonstige Teile;S93.48;Gefährlich
Veränderungen der Stuhlgewohnheiten;R19.4;Gefährlich
Verstauchung und Zerrung eines oder mehrerer Finger: Sonstige Teile;S63.68;Gefährlich
Verbrennung 1. Grades der Knöchelregion und des Fußes;T25.1;Gefährlich
Sonstige und nicht näher bezeichnete oberflächliche Verletzungen der Mamma [Brustdrüse]: Insektenbiss oder -stich (ungiftig);S20.13;Gefährlich
Verbrennung 1. Grades der Schulter und des Armes, ausgenommen Handgelenk und Hand: (Ober-) Arm und Schulterregion;T22.12;Gefährlich
Sonstige reaktive Arthritiden: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M02.87;Gefährlich
Spinale Muskelatrophie, nicht näher bezeichnet;G12.9;Gefährlich
Viruspneumonie, nicht näher bezeichnet;J12.9;Gefährlich
Verbrennung 1. Grades des Rumpfes: Bauchdecke;T21.13;Gefährlich
Vitamin-B-Mangel, nicht näher bezeichnet;E53.9;Gefährlich
Sonstige und nicht näher bezeichnete Atelektase beim Neugeborenen;P28.1;Gefährlich
Vitamin-E-Mangel;E56.0;Gefährlich
Verbrennung Grad 2a der Knöchelregion und des Fußes;T25.20;Gefährlich
Vollständige Trisomie, Mosaik (mitotische Non-disjunction);Q92.1;Gefährlich
Sonstige näher bezeichnete Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind;B08.8;Gefährlich
Strabismus concomitans convergens;H50.0;Gefährlich
Spontaner Spannungspneumothorax;J93.0;Gefährlich
Vorhandensein einer künstlichen Herzklappe;Z95.2;Gefährlich
Staphylococcal scalded skin syndrome [SSS-Syndrom]: Befall von weniger als 30 % der Körperoberfläche;L00.0;Gefährlich
Sonstige oberflächliche Verletzungen der Knöchelregion und des Fußes: Blasenbildung (nichtthermisch);S90.82;Gefährlich
Sonstige näher bezeichnete periphere Gefäßkrankheiten;I73.8;Gefährlich
Vorhandensein eines Kolostomas;Z93.3;Gefährlich
Status epilepticus mit komplexfokalen Anfällen;G41.2;Gefährlich
Sonstige Rückenschmerzen: Thorakolumbalbereich;M54.85;Gefährlich
Status epilepticus, nicht näher bezeichnet;G41.9;Gefährlich
Subarachnoidalblutung (nichttraumatisch) beim Feten und Neugeborenen;P52.5;Gefährlich
Status migraenosus;G43.2;Gefährlich
Vorhandensein von kardialem oder vaskulärem Implantat oder Transplantat, nicht näher bezeichnet;Z95.9;Gefährlich
Verbrennung Grad 2a des Rumpfes: Sonstige Teile;T21.29;Gefährlich
Subjektive Sehstörungen;H53.1;Gefährlich
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];M79.84;Gefährlich
Sonstige unerwünschte Nebenwirkungen, anderenorts nicht klassifiziert;T78.8;Gefährlich
Stein in der Harnblase;N21.0;Gefährlich
Vorhofflimmern, paroxysmal;I48.0;Gefährlich
Sonstige näher bezeichnete Lähmungssyndrome;G83.88;Gefährlich
Sonstige unspezifische Lymphadenitis;I88.8;Gefährlich
Verbrennung nicht näher bezeichneten Grades des Rumpfes: Rücken [jeder Teil];T21.04;Gefährlich
Wangenabszess;K12.23;Gefährlich
Sonstige Peritonitis beim Neugeborenen;P78.1;Gefährlich
Wiskott-Aldrich-Syndrom;D82.0;Gefährlich
Vergiftung: Anästhetikum, nicht näher bezeichnet;T41.4;Gefährlich
Sonstige näher bezeichnete Störungen des Kohlenhydratstoffwechsels;E74.8;Gefährlich
Vergiftung: Antiallergika und Antiemetika;T45.0;Gefährlich
Sonstige Verletzungen des Auges und der Orbita;S05.8;Gefährlich
Vergiftung: Antiepileptika, Sedativa und Hypnotika, nicht näher bezeichnet;T42.7;Gefährlich
Tendinitis calcarea: Unterschenkel [Fibula, Tibia, Kniegelenk];M65.26;Gefährlich
Vergiftung: Antikoagulanzien;T45.5;Gefährlich
Tetraparese und Tetraplegie, nicht näher bezeichnet: Nicht näher bezeichnet;G82.59;Gefährlich
Vergiftung: Antipsychotika und Neuroleptika auf Phenothiazin-Basis;T43.3;Gefährlich
Thanatophore Dysplasie;Q77.1;Gefährlich
Vergiftung: Auf den Elektrolyt-, Kalorien- und Wasserhaushalt wirkende Mittel;T50.3;Gefährlich
Zerquetschung sonstiger und nicht näher bezeichneter Teile des Unterschenkels;S87.8;Gefährlich
Vergiftung: Barbiturate;T42.3;Gefährlich
Sonstige zervikale Bandscheibenschäden;M50.8;Gefährlich
Vergiftung: Beta-Rezeptorenblocker, anderenorts nicht klassifiziert;T44.7;Gefährlich
Thrombose, Phlebitis und Thrombophlebitis sonstiger tiefer Gefäße der unteren Extremitäten;I80.28;Gefährlich
Vergiftung: Cannabis (-Derivate);T40.7;Gefährlich
Zu starke Menstruation im Pubertätsalter;N92.2;Gefährlich
Vergiftung: Insulin und orale blutzuckersenkende Arzneimittel [Antidiabetika];T38.3;Gefährlich
Sonstige zervikale Bandscheibenverlagerung;M50.2;Gefährlich
Vergiftung: Penicilline;T36.0;Gefährlich
Sonstige Zysten der Mundregion, anderenorts nicht klassifiziert;K09.8;Gefährlich
Vergiftung: Schilddrüsenhormone und Ersatzstoffe;T38.1;Gefährlich
Tinea corporis;B35.4;Gefährlich
Vergiftung: Sonstige Antazida und Magensekretionshemmer;T47.1;Gefährlich
Zwilling, Geburt im Krankenhaus;Z38.3;Gefährlich
Vergiftung: Sonstige Antiepileptika, Sedativa und Hypnotika;T42.6;Gefährlich
Sonstige Zystitis;N30.8;Gefährlich
Vergiftung: Sonstige Antihypertensiva, anderenorts nicht klassifiziert;T46.5;Gefährlich
Zyste des Corpus luteum;N83.1;Gefährlich
Sonstige primäre Thrombozytopenie: Als transfusionsrefraktär bezeichnet;D69.40;Gefährlich
Sonstige oberflächliche Verletzungen der Schulter und des Oberarmes: Oberflächlicher Fremdkörper (Splitter);S40.84;Gefährlich
Vergiftung: Sonstige nichtsteroidale Antiphlogistika [NSAID];T39.3;Gefährlich
Sonstiger Hirninfarkt;I63.8;Gefährlich
Vergiftung: Sonstige Opioide;T40.2;Gefährlich
Subdurale Blutung (nichttraumatisch): Nicht näher bezeichnet;I62.09;Gefährlich
Prämenstruelle Beschwerden;N94.3;Gefährlich
Polyp der Nasenhöhle;J33.0;Gefährlich
Sonstige näher bezeichnete Bandscheibenverlagerung;M51.2;Gefährlich
Offene Wunde eines oder mehrerer Finger mit Schädigung des Nagels;S61.1;Gefährlich
Sonstige idiopathische Skoliose: Thorakolumbalbereich;M41.25;Gefährlich
Oberflächliche Verletzung des Ohres: Sonstige;S00.48;Gefährlich
Sonstige näher bezeichnete Affektionen des Augenlides;H02.8;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Halses: Insektenbiss oder -stich (ungiftig);S10.83;Gefährlich
Selektiver Immunglobulin-A-Mangel [IgA-Mangel];D80.2;Gefährlich
Sepsis: Sonstige gramnegative Erreger;A41.58;Gefährlich
Sonstige Hyperphenylalaninämien;E70.1;Gefährlich
Peritonsillarabszess;J36;Gefährlich
Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert;T81.8;Gefährlich
Sialadenitis;K11.2;Gefährlich
Schmerzen in den Extremitäten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];M79.61;Gefährlich
Sick-Sinus-Syndrom;I49.5;Gefährlich
Paretischer Gang;R26.1;Gefährlich
Situs inversus;Q89.3;Gefährlich
Sonstige näher bezeichnete erworbene Deformitäten der Extremitäten: Mehrere Lokalisationen;M21.80;Gefährlich
Probleme mit Bezug auf: Hilfsbedürftigkeit wegen eingeschränkter Mobilität;Z74.0;Gefährlich
Sonstige näher bezeichnete Krankheiten der Harnblase;N32.8;Gefährlich
Skoliose, nicht näher bezeichnet: Lumbalbereich;M41.96;Gefährlich
Sonstige Hämoglobinopathien;D58.2;Gefährlich
Skoliose, nicht näher bezeichnet: Mehrere Lokalisationen der Wirbelsäule;M41.90;Gefährlich
Ödem, nicht näher bezeichnet;R60.9;Gefährlich
Offene Wunde sonstiger und nicht näher bezeichneter äußerer Genitalorgane;S31.5;Gefährlich
Sonstige jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände;E01.8;Gefährlich
Skoliose, nicht näher bezeichnet: Thorakalbereich;M41.94;Gefährlich
Offene Wunde der Hüfte;S71.0;Gefährlich
Pruritus vulvae;L29.2;Gefährlich
Osteogenesis imperfecta;Q78.0;Gefährlich
Somatisierungsstörung;F45.0;Gefährlich
Prellung des Augapfels und des Orbitagewebes;S05.1;Gefährlich
Notwendigkeit der Impfung gegen Diphtherie-Pertussis-Tetanus mit Poliomyelitis [DPT+Polio];Z27.3;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen der Haut;Q82.8;Gefährlich
Oberflächliche Verletzung der behaarten Kopfhaut: Art der Verletzung nicht näher bezeichnet;S00.00;Gefährlich
Patau-Syndrom, nicht näher bezeichnet;Q91.7;Gefährlich
Offene Wunde: Mund, Teil nicht näher bezeichnet;S01.50;Gefährlich
Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens: Zervikalbereich;M43.82;Gefährlich
Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein: Schädlicher Gebrauch;F15.1;Gefährlich
